year, district, line_num, ginkgo, sycamore, zelkova, cherry, silver_maple, metasequoia, locust, ailanthus, persimmon, weeping_willow, tulip_poplar, horse_chestnut, poplar, elm, apricot, rose_of_sharon, pine, magnolia, retusa_fringetree, etc
2015, 구로구,79,3634,1693,1729,1966,14,3,0,0,0,5,0,15,0,0,0,0,30,21,1014,1166
2015, 금천구,27,3771,1063,345,1065,0,32,175,0,27,0,0,7,0,0,0,0,5,0,158,89
2015, 영등포구,104,6110,3989,3400,2706,201,53,110,0,60,0,12,189,0,0,0,0,40,19,765,570
2015, 동작구,29,2203,937,1317,1142,0,114,9,0,0,0,0,0,0,0,0,206,7,0,393,685
2015, 관악구,27,2198,2370,182,2184,0,95,101,0,249,0,0,0,0,0,0,400,75,0,38,1110
2015, 서초구,56,3802,5861,3472,255,0,1160,480,11,0,0,0,742,0,0,0,91,0,0,406,1116
2015, 강남구,57,7996,7887,2642,1363,0,867,508,0,0,0,65,0,0,0,0,0,0,0,240,285
2015, 송파구,97,12700,4483,2200,931,0,14,0,0,0,11,707,329,0,0,1,0,127,0,679,450
2015, 강동구,62,5722,5286,2207,1343,0,0,55,0,0,0,0,0,0,0,0,0,0,0,471,1345
2015, 공원녹지사업소,2,180,26,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5
2015, 시설관리공단,9,3160,1565,1942,1908,0,0,4033,0,0,0,0,0,0,432,20,0,0,0,2392,1068
2016, 종로구,57,5300,1256,680,444,11,32,148,18,75,7,4,18,5,0,0,87,278,0,94,199
2016, 중구,48,3698,180,472,328,0,0,222,0,0,0,7,0,0,0,22,46,2101,0,387,580
2016, 용산구,38,4504,1483,289,255,0,0,38,0,71,0,14,16,0,0,39,0,51,125,201,781
2016, 성동구,35,1159,2527,2019,529,29,49,465,33,148,0,0,1,3,61,0,0,53,0,405,366
2016, 광진구,27,1576,2486,990,651,2,0,156,0,25,0,75,74,0,0,0,0,20,113,622,433
2016, 동대문구,43,3746,3585,848,744,0,60,148,8,36,7,40,19,0,1,26,1,0,0,989,456
2016, 중랑구,50,2918,2820,341,294,57,219,1,0,52,0,0,82,0,0,0,0,5,0,166,1159
2016, 성북구,76,2743,1603,823,1640,68,65,38,5,91,0,4,0,0,0,9,5,97,0,495,549
2016, 강북구,29,3357,957,245,495,291,0,121,0,0,0,5,0,0,141,0,0,990,0,513,403
2016, 도봉구,62,4982,542,788,1942,6,61,32,0,0,1,18,0,0,0,0,234,15,0,66,744
2016, 노원구,50,6514,3404,1133,1556,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1067
2016, 은평구,35,4230,1873,951,2101,0,17,295,7,8,0,0,16,0,0,0,29,4,0,544,1111
2016, 서대문구,103,3489,1986,546,668,0,25,84,0,4,0,10,5,4,0,0,70,0,0,421,1015
2016, 마포구,90,3351,3634,3040,884,0,474,983,0,126,0,0,0,0,0,64,0,109,93,1219,348
2016, 양천구,47,5630,4008,1034,954,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
2016, 강서구,41,3974,729,919,2113,0,1664,213,0,0,0,0,0,0,0,0,59,282,0,493,568
2016, 구로구,79,3625,1601,1787,1955,13,3,0,0,0,5,0,15,0,0,0,0,30,26,1071,1195
2016, 금천구,30,3699,1061,380,1125,0,32,175,0,27,0,0,7,0,0,0,0,5,0,173,66
2016, 영등포구,109,6101,3790,3372,2989,194,53,110,0,59,0,12,195,0,0,0,0,40,19,816,579
2016, 동작구,29,2207,941,1312,1143,0,114,9,0,0,0,0,0,0,0,0,206,7,0,403,794
2016, 관악구,26,2202,2357,182,2168,0,95,100,0,249,0,0,0,0,0,0,1120,59,0,40,1184
2016, 서초구,56,3810,5844,3480,255,0,1166,477,11,0,0,0,733,0,0,0,91,0,0,404,1114
2016, 강남구,59,7980,7725,2803,2191,0,867,518,0,0,0,65,0,0,0,0,0,0,0,624,881
2016, 송파구,97,12559,4370,2170,931,0,14,0,0,0,11,707,329,0,0,0,0,191,0,976,450
2016, 강동구,62,5696,5013,2243,1494,0,0,55,0,0,0,0,0,0,0,0,0,0,0,568,1345
2016, 공원녹지사업소,1,180,26,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5
2016, 시설관리공단,9,3073,1556,1906,1862,0,0,3773,0,0,0,0,0,0,307,17,0,0,0,2547,1031
